feature,importance
entropy_attack_in_center_box,0.49378907716912357
pitch_control_in_center_box,0.26876284290709856
entropy_attack_in_second_post,0.17763623585688587
defenders_in_box,0.017336878987780524
entropy_attack_in_first_post,0.017085449628380364
entropy_diff_in_second_post,0.016297447638292727
entropy_diff_in_center_box,0.009092067812438025
start_x,0.0
start_y,0.0
distance_start_from_goal,0.0
cross_region_byline_halfspace,0.0
cross_region_byline_touchline,0.0
cross_region_deep_halfspace,0.0
cross_region_deep_touchline,0.0
cross_region_mid_halfspace,0.0
cross_region_mid_touchline,0.0
attackers_in_box,0.0
attackers_in_zone,0.0
defenders_in_zone,0.0
box_ratio,0.0
zone_ratio,0.0
entropy_attack_around,0.0
entropy_defense_around,0.0
entropy_general_around,0.0
entropy_diff_around,0.0
pitch_control_around,0.0
entropy_defense_in_first_post,0.0
entropy_general_in_first_post,0.0
entropy_diff_in_first_post,0.0
pitch_control_in_first_post,0.0
entropy_defense_in_second_post,0.0
entropy_general_in_second_post,0.0
pitch_control_in_second_post,0.0
entropy_defense_in_center_box,0.0
entropy_general_in_center_box,0.0
entropy_attack_sum,0.0
entropy_defense_sum,0.0
entropy_general_sum,0.0
entropy_diff_sum,0.0
pitch_control_sum,0.0
entropy_attack_grad_towards_goal,0.0
entropy_defense_grad_towards_goal,0.0
entropy_general_grad_towards_goal,0.0
entropy_diff_grad_towards_goal,0.0
pitch_control_grad_towards_goal,0.0
