feature,importance
entropy_attack_in_second_post,0.31799993340681687
entropy_general_in_second_post,0.20501644319090875
pitch_control_in_center_box,0.12953674642233892
distance_start_from_goal,0.0898832188162781
start_x,0.06385861200754463
entropy_diff_in_first_post,0.03175248806593717
pitch_control_in_second_post,0.022434922214964813
entropy_defense_around,0.021851817096812314
entropy_attack_sum,0.021764620732150727
defenders_in_box,0.02150926033687765
entropy_attack_in_center_box,0.021052285103446918
entropy_defense_grad_towards_goal,0.01572153345014504
entropy_diff_sum,0.014959040123475554
entropy_diff_in_second_post,0.009545253665438394
entropy_general_in_first_post,0.005359361649335949
entropy_general_around,0.00409097770718608
entropy_defense_sum,0.0036634860103424154
start_y,0.0
cross_region_byline_halfspace,0.0
cross_region_byline_touchline,0.0
cross_region_deep_halfspace,0.0
cross_region_deep_touchline,0.0
cross_region_mid_halfspace,0.0
cross_region_mid_touchline,0.0
attackers_in_box,0.0
attackers_in_zone,0.0
defenders_in_zone,0.0
box_ratio,0.0
zone_ratio,0.0
entropy_attack_around,0.0
entropy_diff_around,0.0
pitch_control_around,0.0
entropy_attack_in_first_post,0.0
entropy_defense_in_first_post,0.0
pitch_control_in_first_post,0.0
entropy_defense_in_second_post,0.0
entropy_defense_in_center_box,0.0
entropy_general_in_center_box,0.0
entropy_diff_in_center_box,0.0
entropy_general_sum,0.0
pitch_control_sum,0.0
entropy_attack_grad_towards_goal,0.0
entropy_general_grad_towards_goal,0.0
entropy_diff_grad_towards_goal,0.0
pitch_control_grad_towards_goal,0.0
