feature_set,label,model_a,model_b,spearman
xcross,shot,adaboost,adaboost,1.0
xcross,shot,adaboost,catboost,0.942017058207392
xcross,shot,adaboost,histgb,0.8472686362855449
xcross,shot,adaboost,lightgbm,0.8574326234059887
xcross,shot,adaboost,logreg,0.844361868976563
xcross,shot,adaboost,random_forest,0.96871830681497
xcross,shot,adaboost,tabpfn,0.964805670551593
xcross,shot,adaboost,xgboost,0.8412445065145948
xcross,shot,catboost,catboost,1.0
xcross,shot,catboost,histgb,0.9124810880010641
xcross,shot,catboost,lightgbm,0.932714848620879
xcross,shot,catboost,logreg,0.8534396284658144
xcross,shot,catboost,random_forest,0.9496289645923044
xcross,shot,catboost,tabpfn,0.930644919946132
xcross,shot,catboost,xgboost,0.9229000060961755
xcross,shot,histgb,histgb,1.0
xcross,shot,histgb,lightgbm,0.9532728149367383
xcross,shot,histgb,logreg,0.8226539422858441
xcross,shot,histgb,random_forest,0.8588707666217766
xcross,shot,histgb,tabpfn,0.8458194091143366
xcross,shot,histgb,xgboost,0.9280263354780787
xcross,shot,lightgbm,lightgbm,1.0
xcross,shot,lightgbm,logreg,0.8223020267012487
xcross,shot,lightgbm,random_forest,0.8594693002144747
xcross,shot,lightgbm,tabpfn,0.8599375973309836
xcross,shot,lightgbm,xgboost,0.9463120909327702
xcross,shot,logreg,logreg,1.0
xcross,shot,logreg,random_forest,0.8445724641295493
xcross,shot,logreg,tabpfn,0.901438697413559
xcross,shot,logreg,xgboost,0.8024949983651166
xcross,shot,random_forest,random_forest,1.0
xcross,shot,random_forest,tabpfn,0.9517847939215589
xcross,shot,random_forest,xgboost,0.8537250403178879
xcross,shot,tabpfn,tabpfn,1.0
xcross,shot,tabpfn,xgboost,0.8387977233555568
xcross,shot,xgboost,xgboost,1.0
xcross,success,adaboost,adaboost,1.0
xcross,success,adaboost,catboost,0.9325901541224002
xcross,success,adaboost,histgb,0.8550246340909216
xcross,success,adaboost,lightgbm,0.8681092434646229
xcross,success,adaboost,logreg,0.8820722563053851
xcross,success,adaboost,random_forest,0.9519205723754579
xcross,success,adaboost,tabpfn,0.9556946591960807
xcross,success,adaboost,xgboost,0.8586463165245148
xcross,success,catboost,catboost,1.0
xcross,success,catboost,histgb,0.9444111925781834
xcross,success,catboost,lightgbm,0.943856994807167
xcross,success,catboost,logreg,0.8807477236326556
xcross,success,catboost,random_forest,0.9621178113621628
xcross,success,catboost,tabpfn,0.9443446888456616
xcross,success,catboost,xgboost,0.9403073580838059
xcross,success,histgb,histgb,1.0
xcross,success,histgb,lightgbm,0.9627717647319625
xcross,success,histgb,logreg,0.838811578299832
xcross,success,histgb,random_forest,0.8972295653426882
xcross,success,histgb,tabpfn,0.8819614167511819
xcross,success,histgb,xgboost,0.950116658630799
xcross,success,lightgbm,lightgbm,1.0
xcross,success,lightgbm,logreg,0.8397093786888788
xcross,success,lightgbm,random_forest,0.9016548345442555
xcross,success,lightgbm,tabpfn,0.8892989952394412
xcross,success,lightgbm,xgboost,0.945904755571073
xcross,success,logreg,logreg,1.0
xcross,success,logreg,random_forest,0.8658037807371939
xcross,success,logreg,tabpfn,0.9406980675123724
xcross,success,logreg,xgboost,0.8347548506159908
xcross,success,random_forest,random_forest,1.0
xcross,success,random_forest,tabpfn,0.939138000786961
xcross,success,random_forest,xgboost,0.901269667093399
xcross,success,tabpfn,tabpfn,1.0
xcross,success,tabpfn,xgboost,0.8770789343885259
xcross,success,xgboost,xgboost,1.0
xcrossot,shot,adaboost,adaboost,1.0
