estimator,feature_set,label,calibration,auc,auc_lo,auc_hi,stability,stability_lo,stability_hi
xgboost,xcross,success,isotonic,0.5792953084564969,0.5678648824368859,0.5898627139673189,0.4587953957249184,0.38962798089126094,0.5413631048375923
xgboost,xcross,success,sigmoid,0.5804579734569897,0.569619315433366,0.5907074319622831,0.5052163865196935,0.4259384646504952,0.6040393397287757
adaboost,xcross,success,isotonic,0.5747533163875675,0.5642339600800966,0.5844365556429977,0.7004505627878365,0.6362431487300558,0.7488767796675923
adaboost,xcross,success,sigmoid,0.5779600261449612,0.5674943615947519,0.5878930622631481,0.7239804146507722,0.6647248962264674,0.770168226733392
catboost,xcross,success,isotonic,0.5755857096690392,0.5640769803204325,0.5856947302873328,0.604948431897407,0.5228691788451628,0.6684606741261687
catboost,xcross,success,sigmoid,0.578044210687932,0.5667022691308871,0.5879162940729067,0.648912941072151,0.5913579785082105,0.7078574159974729
lightgbm,xcross,success,isotonic,0.5761571368622667,0.5645745542516127,0.5866545486492618,0.47999761694958465,0.38866700195631815,0.5819528266857311
lightgbm,xcross,success,sigmoid,0.5798073288208534,0.5683090738947855,0.589893701105103,0.49352281355124394,0.40366892779357244,0.5891917579707495
histgb,xcross,success,isotonic,0.5792954603510505,0.5678077813291543,0.5895771706344792,0.46547486436009555,0.3828867192046153,0.5625888794675268
histgb,xcross,success,sigmoid,0.580215849462776,0.5691745195586422,0.5909811542323268,0.5198638336076612,0.4360313759068061,0.6074475174710847
random_forest,xcross,success,isotonic,0.5768979933438048,0.5657922461082932,0.5874448756956174,0.6902865756673926,0.624456401261354,0.7407717065411962
random_forest,xcross,success,sigmoid,0.5782988075613769,0.5674065731052387,0.5893209533583025,0.7182250707987652,0.6484434662853785,0.764986061926059
logreg,xcross,success,isotonic,0.5861326313644849,0.5758986649198365,0.5961607805757405,0.5502588103590648,0.4671568545951308,0.6149546804772752
logreg,xcross,success,sigmoid,0.5875553742351143,0.5773958135397897,0.5979641472117175,0.5636703964176656,0.4902409929007266,0.6346269694803288
tabpfn,xcross,success,isotonic,0.5870443675849368,0.5764730691697619,0.5971465158631392,0.6509759422747601,0.572607251123636,0.7080590747114015
tabpfn,xcross,success,sigmoid,0.5876555620706769,0.5767782515810643,0.5980351992724247,0.672233583276528,0.5985494566090854,0.7331031334341973
